"Source:","/home/joerg/repos/OpenBLDC/joewa/ChibiESC/hardware/design/DrChibi.sch"
"Date:","Mo 24 Okt 2016 14:15:12 CEST"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/home/joerg/kicad/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","183"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"8","6","CDrHVs1, CDrHVs2, CDrHVs3, CDrHVs4, CDrHVs5, CDrHVs6","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"9","6","CDrLogic1, CDrLogic2, CDrLogic3, CDrLogic4, CDrLogic5, CDrLogic6","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"10","1","CHFAC1","10n,35V","device:C","Capacitors_SMD:C_0603_HandSoldering","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"11","1","CONN2","CONN_01X05","conn:CONN_01X05","Pads:Pin_Header_Straight_1x05_Pitch1.27mm","","","",""
"12","1","Cbattfilt1","0.47u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"13","1","Ccan2","2.2u","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"14","6","Ccfilt1, Ccfilt2, Ccfilt3, Ccfilt4, Ccfilt5, Ccfilt6","0.47n","device:C","Capacitors_SMD:C_0402","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"15","2","Cclk1, Cclk2","18p","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0402","","for the crystal","",""
"16","1","Cpwr1","4.7u,35V","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","X7R, e.g. GRM32ER7YA106KA12L","",""
"17","1","Cpwr2","10u,35V","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_2220","","","",""
"18","6","Csens1, Csens2, Csens3, Csens4, Csens5, Csens6","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"19","2","C3vi1, C5vo2","100u","BLDC_4-rescue:CP1-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","","",""
"20","1","C3vi2","1u","device:C","Capacitors_SMD:C_0603","","","",""
"21","1","C3vn1","10n","device:C","Capacitors_SMD:C_0603","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"22","1","C3vo1","4.7u","BLDC_4-rescue:CP1-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","","",""
"23","1","D1","RED","BLDC_4-rescue:LED-RESCUE-BLDC_4","LEDs:LED_0402","","","",""
"24","1","D2","GREEN","BLDC_4-rescue:LED-RESCUE-BLDC_4","LEDs:LED_0402","","","",""
"25","1","Dclamp1","D_Schottky_x2_Serial_AKC__BAT754S","device:D_Schottky_x2_Serial_AKC","TO_SOT_Packages_SMD:SOT-23","","","NXP","BAT754S"
"26","1","Dusb1","BAT46WH","DrChibi-cache:BAT46WH","Diodes_SMD:SOD-123","","","NXP","BAT46WH"
"27","1","P1","CONN_02X05","conn:CONN_02X05","Pads:Pin_Header_Straight_2x05_Pitch1.27mm","","","",""
"28","17","P2, PBOOT1GND1, PBOOT0P1, PBOOT1P1, PBOOT03V31, PVSens1, PVSens2, PVSens3, PVSens4, PVSens5, PVSens6, P_PWM1, P_PWM2, P_PWM3, P_PWM4, P_PWM5, P_USART3_CLK1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1x1","","","",""
"29","1","P3","IN+","DrChibi-cache:CONN_1","Pads:1PAD_3x6mm","","","",""
"30","1","P4","IN-","DrChibi-cache:CONN_1","Pads:1PAD_3.5x6mm","","","",""
"31","1","P5","CONN_01X04","conn:CONN_01X04","Connectors_Molex:Connector_Molex_PicoBlade_53261-0471","","","Molex","PicoBlade 53261-0471"
"32","1","PHFAC1","PAD_SMD","pkl_misc:PAD_SMD","Pads:PAD_SMD_1.2x2.5","","","",""
"33","6","PMotor1, PMotor2, PMotor3, PMotor4, PMotor5, PMotor6","PAD_SMD","pkl_misc:PAD_SMD","CRF1:1PAD_4x5mm","","","",""
"34","8","R1, R2, RDrLogic1, RDrLogic2, RDrLogic3, RDrLogic4, RDrLogic5, RDrLogic6","100R","device:R","Resistors_SMD:R_0603","","","",""
